#OTU ID,WAS_76,R1_76,R2_76,R3_76,WAS_121,R1_121,R2_121,R3_121,WAS_160,R1_160,R2_160,R3_160,WAS_196,R1_196,R2_196,R3_196
0c85d1af320ec505a613270d14439985,0,0,0,0,0,0.004870199,0.004038532,0.003755683,0,0,0,0,0,0,0,0
9541e9f177d9d12d8eb1cc43b5d7ffb6,0,0,0,0,0.006235105,0.004849024,0.004493086,0.004744021,0,0,0,0,0,0,0,0
20ba69e6eaf18e26a538abd30e6b4f4b,0,0,0,0,0.004350718,0.004721975,0.003811255,0.004438534,0,0,0,0,0,0,0,0
588d3506358db84649262eb2c57b8772,0,0,0,0,0.010599679,0.004721975,0.004510568,0.004995597,0,0,0,0,0,0,0,0
593fdd7f1eef08104aaecf090c255fe9,0,0,0,0,0.007662251,0.004616101,0.005174916,0.005301084,0,0,0,0,0,0,0,0
87a62bc5c1ff6b3c309490fd66e76164,0,0,0,0,0.002785014,0.004150256,0.003374185,0.004079139,0,0,0,0,0,0,0,0
c74079efeff9a437189d2f80343789d4,0,0,0,0,0,0.004150256,0.004563017,0.004348686,0,0,0,0,0,0,0,0
e9a4022c31fc11e69f7499d491da010e,0,0,0,0,0.005819431,0.003980858,0.003723841,0.004151018,0,0,0,0,0,0,0,0
c1770bf99cacc8a1ac9fa075be4de837,0,0,0,0,0.003172976,0.003959683,0.003007046,0.003108771,0,0,0,0,0,0,0,0
bbad952e4775779c4a3a0d0c4ffc74e3,0,0,0,0,0.007883944,0.003938508,0.004195878,0.003683804,0,0,0,0,0,0,0,0
a6c449a2a1e96bb63b1baf736009df54,0,0,0,0,0,0.003874984,0.003968601,0.003468167,0,0,0,0,0,0,0,0
eaf7b73120f6936ddf45393284a19c23,0,0,0,0,0.004101314,0.003790285,0.003286771,0.003036892,0,0,0,0,0,0,0,0
76427251947cea2b362cf9aa4c334092,0,0,0,0,0,0.00376911,0.00353153,0.004115078,0,0,0,0,0,0,0,0
17cd45308d3f8a90df5c070fd9b67b42,0,0,0,0,0,0.003747935,0.003636427,0.004079139,0,0,0,0,0,0,0,0
e5f3957321fe762102e3dca0da942c07,0,0,0,0,0.005777864,0.003663236,0.003514047,0.00318065,0,0,0,0,0,0,0,0
8b4a67ead5d02bd9f71ba82642ef3079,0,0,0,0,0.003574794,0.003578537,0.002744803,0.00240795,0,0,0,0,0,0,0,0
8c5d8a0cbdd9bcfdcda7e9b800380e47,0,0,0,0,0,0.003557362,0.004143429,0.003540046,0,0,0,0,0,0,0,0
c2ef92772fe18b16f6eb3325bd59e142,0,0,0,0,0,0.003515013,0.003933635,0,0,0,0,0,0,0,0,0
3ff4b73bbd26f81b8caa23e1104cdc57,0,0,0,0,0.002494042,0.003472663,0.003688876,0.00316268,0,0,0,0,0,0,0,0
4780c4772a1ded0ba1cf20b2f2c5cd9b,0,0,0,0,6.93E-05,0.003387964,0.004038532,0.003719743,0,0,0,0,0,0,0,0
ac9847b5b23dfe02f3aceec8bd4b3a87,0,0,0,0,0.005985701,0.003366789,0.002867183,0.002587648,0,0,0,0,0,0,0,0
badbc34d43e1d953d1772885383d37b5,0,0,0,0,0.003075985,0.00328209,0.003042011,0.003755683,0,0,0,0,0,0,0,0
dacd4a856862e1f4717ed42116b174b7,0,0,0,0,0,0.00328209,0.002587458,0.002461859,0,0,0,0,0,0,0,0
87a74e7267672fde9402d083fa3ded9a,0,0,0,0,0,0.003197391,0.003986084,0.004043199,0,0,0,0,0,0,0,0
1c0bf5411bf63a597067fec3c199ef80,0,0,0,0,0.0065815,0.003155042,0.004632948,0.004061169,0,0,0,0,0,0,0,0
6929d56139edc3b54119e93a851dabbf,0,0,0,0,0,0.003091517,0.00309446,0.003611925,0,0,0,0,0,0,0,0
