Wavenumber,BC,HC,WAS,R1,R2,R3
488.874400,0.058997,0.059945,0.051312,0.047931,0.048050,0.033816
489.356500,0.058829,0.059754,0.051380,0.047988,0.048121,0.033882
489.838600,0.058950,0.059860,0.051410,0.048017,0.048166,0.033932
490.320700,0.058838,0.059743,0.051500,0.048098,0.048268,0.034000
490.802900,0.058978,0.059883,0.051541,0.048139,0.048331,0.034046
491.285000,0.058847,0.059761,0.051625,0.048210,0.048427,0.034101
491.767100,0.058940,0.059871,0.051646,0.048226,0.048466,0.034132
492.249200,0.058773,0.059729,0.051712,0.048274,0.048536,0.034176
492.731400,0.058860,0.059846,0.051732,0.048283,0.048562,0.034205
493.213500,0.058733,0.059749,0.051816,0.048343,0.048637,0.034255
493.695600,0.058885,0.059924,0.051868,0.048375,0.048678,0.034289
494.177700,0.058823,0.059875,0.051980,0.048453,0.048764,0.034336
494.659900,0.059010,0.060058,0.052042,0.048487,0.048800,0.034356
495.142000,0.058949,0.059980,0.052142,0.048549,0.048861,0.034382
495.624100,0.059114,0.060115,0.052182,0.048562,0.048867,0.034388
496.106200,0.059038,0.060008,0.052265,0.048614,0.048910,0.034420
496.588400,0.059212,0.060157,0.052306,0.048641,0.048928,0.034456
497.070500,0.059184,0.060115,0.052412,0.048729,0.049013,0.034536
497.552600,0.059426,0.060353,0.052485,0.048799,0.049086,0.034620
498.034700,0.059462,0.060393,0.052612,0.048912,0.049219,0.034729
498.516900,0.059735,0.060670,0.052681,0.048975,0.049310,0.034811
498.999000,0.059765,0.060698,0.052777,0.049049,0.049423,0.034886
499.481100,0.060003,0.060921,0.052802,0.049057,0.049468,0.034919
499.963300,0.059999,0.060890,0.052862,0.049085,0.049531,0.034950
500.445400,0.060225,0.061077,0.052882,0.049079,0.049545,0.034960
500.927500,0.060241,0.061054,0.052975,0.049132,0.049606,0.034995
501.409600,0.060506,0.061282,0.053054,0.049181,0.049645,0.035031
501.891700,0.060561,0.061312,0.053207,0.049296,0.049740,0.035099
502.373900,0.060835,0.061576,0.053326,0.049389,0.049803,0.035158
502.856000,0.060868,0.061614,0.053486,0.049517,0.049903,0.035231
503.338100,0.061102,0.061863,0.053585,0.049598,0.049957,0.035283
503.820300,0.061106,0.061890,0.053715,0.049706,0.050050,0.035347
504.302400,0.061343,0.062146,0.053797,0.049777,0.050114,0.035401
504.784500,0.061391,0.062209,0.053935,0.049891,0.050239,0.035481
505.266600,0.061695,0.062518,0.054043,0.049980,0.050351,0.035560
505.748700,0.061808,0.062629,0.054212,0.050110,0.050522,0.035663
506.230900,0.062148,0.062960,0.054339,0.050198,0.050663,0.035752
506.713000,0.062259,0.063064,0.054505,0.050306,0.050838,0.035851
507.195100,0.062568,0.063370,0.054616,0.050362,0.050965,0.035927
507.677200,0.062650,0.063459,0.054765,0.050448,0.051124,0.036017
508.159400,0.062951,0.063776,0.054873,0.050510,0.051252,0.036100
508.641500,0.063059,0.063908,0.055042,0.050632,0.051435,0.036213
509.123600,0.063409,0.064282,0.055188,0.050751,0.051600,0.036330
509.605700,0.063565,0.064464,0.055396,0.050929,0.051815,0.036475
510.087900,0.063936,0.064853,0.055567,0.051081,0.051990,0.036608
510.570000,0.064079,0.065013,0.055778,0.051260,0.052182,0.036746
511.052100,0.064407,0.065358,0.055936,0.051384,0.052308,0.036855
511.534200,0.064503,0.065479,0.056131,0.051521,0.052445,0.036963
512.016400,0.064802,0.065812,0.056285,0.051611,0.052533,0.037048
512.498500,0.064903,0.065957,0.056494,0.051733,0.052662,0.037149
512.980600,0.065232,0.066336,0.056674,0.051829,0.052774,0.037245
513.462700,0.065373,0.066525,0.056908,0.051969,0.052948,0.037370
513.944800,0.065730,0.066920,0.057100,0.052084,0.053109,0.037495
514.427000,0.065882,0.067093,0.057329,0.052240,0.053327,0.037648
514.909100,0.066236,0.067452,0.057507,0.052369,0.053523,0.037794
515.391200,0.066389,0.067597,0.057726,0.052543,0.053767,0.037961
515.873400,0.066761,0.067956,0.057908,0.052699,0.053985,0.038113
516.355500,0.066953,0.068139,0.058146,0.052904,0.054245,0.038272
516.837600,0.067374,0.068556,0.058351,0.053082,0.054463,0.038398
517.319700,0.067607,0.068791,0.058597,0.053285,0.054697,0.038509
517.801900,0.068041,0.069228,0.058782,0.053427,0.054862,0.038573
518.284000,0.068259,0.069445,0.058982,0.053566,0.055022,0.038620
518.766100,0.068662,0.069837,0.059109,0.053635,0.055112,0.038634
519.248200,0.068856,0.070011,0.059261,0.053717,0.055223,0.038665
519.730300,0.069255,0.070384,0.059373,0.053768,0.055307,0.038702
520.212500,0.069467,0.070578,0.059549,0.053877,0.055454,0.038786
520.694600,0.069895,0.070996,0.059711,0.053987,0.055603,0.038890
521.176700,0.070128,0.071238,0.059940,0.054163,0.055817,0.039031
521.658800,0.070552,0.071684,0.060140,0.054325,0.056010,0.039167
522.141000,0.070762,0.071929,0.060378,0.054525,0.056236,0.039311
522.623100,0.071159,0.072361,0.060564,0.054687,0.056416,0.039429
523.105200,0.071362,0.072595,0.060782,0.054875,0.056620,0.039550
523.587300,0.071785,0.073030,0.060954,0.055028,0.056788,0.039652
524.069500,0.072043,0.073285,0.061173,0.055217,0.056999,0.039773
524.551600,0.072523,0.073742,0.061357,0.055380,0.057191,0.039889
525.033700,0.072815,0.073995,0.061588,0.055577,0.057431,0.040025
525.515900,0.073278,0.074407,0.061771,0.055733,0.057637,0.040148
525.998000,0.073500,0.074577,0.061982,0.055904,0.057869,0.040281
526.480100,0.073864,0.074888,0.062139,0.056023,0.058050,0.040394
526.962200,0.073994,0.074980,0.062330,0.056164,0.058251,0.040518
527.444300,0.074301,0.075259,0.062487,0.056273,0.058413,0.040631
527.926500,0.074422,0.075373,0.062701,0.056427,0.058612,0.040763
528.408600,0.074750,0.075706,0.062889,0.056564,0.058781,0.040886
528.890700,0.074900,0.075874,0.063123,0.056745,0.058985,0.041017
529.372800,0.075232,0.076228,0.063304,0.056891,0.059146,0.041118
529.855000,0.075358,0.076380,0.063502,0.057056,0.059325,0.041209
530.337100,0.075647,0.076688,0.063629,0.057170,0.059454,0.041263
530.819200,0.075733,0.076793,0.063774,0.057300,0.059610,0.041314
531.301300,0.076005,0.077077,0.063872,0.057393,0.059736,0.041348
531.783400,0.076107,0.077191,0.064018,0.057524,0.059913,0.041406
532.265600,0.076411,0.077502,0.064142,0.057637,0.060075,0.041469
532.747700,0.076541,0.077641,0.064321,0.057791,0.060282,0.041562
533.229900,0.076846,0.077943,0.064465,0.057916,0.060452,0.041652
533.712000,0.076949,0.078036,0.064644,0.058065,0.060638,0.041756
534.194100,0.077205,0.078264,0.064767,0.058167,0.060765,0.041840
534.676200,0.077261,0.078281,0.064916,0.058285,0.060904,0.041926
535.158300,0.077488,0.078453,0.065014,0.058361,0.060996,0.041989
535.640400,0.077541,0.078451,0.065148,0.058463,0.061121,0.042059
536.122600,0.077772,0.078627,0.065237,0.058529,0.061218,0.042111
536.604700,0.077821,0.078635,0.065357,0.058621,0.061353,0.042171
537.086800,0.078019,0.078805,0.065422,0.058671,0.061452,0.042209
537.569000,0.078011,0.078788,0.065507,0.058739,0.061577,0.042252
538.051100,0.078141,0.078919,0.065537,0.058764,0.061658,0.042275
538.533200,0.078082,0.078873,0.065602,0.058819,0.061767,0.042309
539.015300,0.078192,0.078999,0.065634,0.058851,0.061845,0.042330
539.497400,0.078151,0.078979,0.065723,0.058928,0.061963,0.042366
539.979600,0.078296,0.079143,0.065785,0.058987,0.062052,0.042388
540.461700,0.078285,0.079158,0.065889,0.059080,0.062168,0.042415
540.943800,0.078430,0.079328,0.065937,0.059131,0.062231,0.042414
541.426000,0.078389,0.079318,0.065998,0.059191,0.062299,0.042409
541.908100,0.078486,0.079442,0.065991,0.059196,0.062305,0.042378
542.390200,0.078407,0.079392,0.066005,0.059214,0.062328,0.042358
542.872300,0.078491,0.079497,0.065978,0.059198,0.062318,0.042333
543.354400,0.078432,0.079460,0.066005,0.059220,0.062357,0.042338
543.836500,0.078548,0.079593,0.066013,0.059223,0.062386,0.042346
544.318700,0.078513,0.079581,0.066076,0.059266,0.062465,0.042377
544.800800,0.078621,0.079711,0.066102,0.059277,0.062518,0.042394
545.283000,0.078545,0.079665,0.066155,0.059310,0.062599,0.042414
545.765100,0.078591,0.079735,0.066153,0.059304,0.062637,0.042408
546.247200,0.078461,0.079629,0.066178,0.059323,0.062702,0.042406
546.729300,0.078480,0.079654,0.066160,0.059319,0.062739,0.042390
547.211400,0.078364,0.079532,0.066190,0.059359,0.062823,0.042391
547.693600,0.078420,0.079560,0.066191,0.059384,0.062891,0.042385
548.175700,0.078347,0.079447,0.066235,0.059444,0.062999,0.042391
548.657800,0.078428,0.079476,0.066235,0.059466,0.063069,0.042375
549.140000,0.078358,0.079358,0.066259,0.059496,0.063152,0.042356
549.622100,0.078426,0.079380,0.066226,0.059470,0.063178,0.042307
550.104200,0.078350,0.079272,0.066221,0.059451,0.063215,0.042259
550.586300,0.078432,0.079329,0.066181,0.059392,0.063213,0.042200
551.068400,0.078397,0.079281,0.066194,0.059365,0.063249,0.042164
551.550500,0.078534,0.079400,0.066185,0.059319,0.063265,0.042134
552.032700,0.078547,0.079397,0.066225,0.059314,0.063322,0.042133
552.514800,0.078702,0.079523,0.066226,0.059286,0.063350,0.042131
552.996900,0.078702,0.079490,0.066253,0.059288,0.063403,0.042144
553.479100,0.078817,0.079562,0.066228,0.059261,0.063413,0.042144
553.961200,0.078774,0.079478,0.066235,0.059265,0.063450,0.042152
554.443300,0.078858,0.079519,0.066210,0.059251,0.063460,0.042147
554.925400,0.078805,0.079436,0.066241,0.059280,0.063516,0.042157
555.407600,0.078894,0.079497,0.066257,0.059296,0.063559,0.042159
555.889600,0.078849,0.079436,0.066325,0.059348,0.063649,0.042173
556.371800,0.078932,0.079502,0.066356,0.059369,0.063713,0.042173
556.853900,0.078866,0.079427,0.066411,0.059409,0.063805,0.042179
557.336100,0.078918,0.079465,0.066406,0.059407,0.063857,0.042168
557.818200,0.078832,0.079371,0.066420,0.059425,0.063938,0.042167
558.300300,0.078880,0.079410,0.066387,0.059415,0.063991,0.042158
558.782500,0.078808,0.079342,0.066393,0.059440,0.064087,0.042165
559.264500,0.078874,0.079416,0.066368,0.059442,0.064162,0.042163
559.746700,0.078809,0.079379,0.066385,0.059470,0.064268,0.042167
560.228800,0.078855,0.079460,0.066362,0.059456,0.064328,0.042147
560.710900,0.078750,0.079404,0.066366,0.059449,0.064391,0.042121
561.193100,0.078745,0.079450,0.066321,0.059389,0.064391,0.042068
561.675200,0.078604,0.079362,0.066308,0.059343,0.064396,0.042016
562.157300,0.078589,0.079391,0.066264,0.059267,0.064358,0.041955
562.639400,0.078468,0.079309,0.066273,0.059228,0.064352,0.041916
563.121600,0.078486,0.079351,0.066263,0.059174,0.064327,0.041878
563.603700,0.078392,0.079275,0.066304,0.059160,0.064343,0.041862
564.085800,0.078415,0.079300,0.066308,0.059117,0.064331,0.041836
564.567900,0.078301,0.079185,0.066338,0.059094,0.064346,0.041817
565.050000,0.078288,0.079158,0.066316,0.059029,0.064321,0.041778
565.532200,0.078143,0.079000,0.066317,0.058981,0.064321,0.041746
566.014300,0.078115,0.078949,0.066277,0.058903,0.064291,0.041704
566.496500,0.077976,0.078793,0.066276,0.058858,0.064298,0.041679
566.978500,0.077958,0.078755,0.066243,0.058793,0.064281,0.041651
567.460700,0.077819,0.078607,0.066247,0.058759,0.064293,0.041638
567.942800,0.077773,0.078556,0.066205,0.058692,0.064259,0.041611
568.424900,0.077585,0.078376,0.066181,0.058638,0.064228,0.041584
568.907000,0.077480,0.078284,0.066102,0.058541,0.064134,0.041534
569.389200,0.077248,0.078078,0.066047,0.058459,0.064044,0.041482
569.871300,0.077132,0.077986,0.065957,0.058347,0.063910,0.041415
570.353400,0.076927,0.077812,0.065916,0.058270,0.063807,0.041358
570.835600,0.076861,0.077768,0.065854,0.058176,0.063681,0.041294
571.317700,0.076709,0.077639,0.065839,0.058117,0.063594,0.041240
571.799800,0.076674,0.077616,0.065788,0.058030,0.063476,0.041170
572.281900,0.076526,0.077478,0.065760,0.057958,0.063378,0.041101
572.764000,0.076468,0.077418,0.065677,0.057844,0.063235,0.041011
573.246200,0.076291,0.077236,0.065613,0.057743,0.063106,0.040924
573.728300,0.076209,0.077139,0.065504,0.057606,0.062939,0.040828
574.210400,0.076024,0.076939,0.065432,0.057496,0.062801,0.040749
574.692500,0.075946,0.076840,0.065330,0.057363,0.062635,0.040673
575.174700,0.075768,0.076648,0.065267,0.057260,0.062501,0.040617
575.656800,0.075686,0.076552,0.065167,0.057131,0.062332,0.040556
576.138900,0.075493,0.076357,0.065094,0.057024,0.062180,0.040503
576.621000,0.075388,0.076256,0.064974,0.056884,0.061984,0.040433
577.103100,0.075177,0.076063,0.064881,0.056766,0.061804,0.040363
577.585300,0.075066,0.075971,0.064748,0.056622,0.061585,0.040274
578.067400,0.074864,0.075795,0.064651,0.056508,0.061389,0.040190
578.549600,0.074766,0.075713,0.064520,0.056371,0.061158,0.040092
579.031700,0.074574,0.075533,0.064419,0.056260,0.060946,0.039999
579.513800,0.074469,0.075427,0.064271,0.056118,0.060687,0.039891
579.995900,0.074258,0.075208,0.064141,0.055991,0.060436,0.039786
580.478000,0.074130,0.075061,0.063960,0.055829,0.060136,0.039666
580.960100,0.073906,0.074822,0.063806,0.055688,0.059853,0.039556
581.442300,0.073782,0.074683,0.063622,0.055527,0.059543,0.039440
581.924400,0.073582,0.074480,0.063487,0.055399,0.059273,0.039341
582.406600,0.073491,0.074387,0.063336,0.055258,0.058991,0.039241
582.888700,0.073318,0.074224,0.063232,0.055147,0.058752,0.039156
583.370800,0.073236,0.074146,0.063100,0.055011,0.058494,0.039063
583.852900,0.073055,0.073973,0.062997,0.054895,0.058267,0.038980
584.335000,0.072950,0.073868,0.062854,0.054746,0.058013,0.038886
584.817100,0.072751,0.073670,0.062740,0.054619,0.057790,0.038802
585.299300,0.072641,0.073556,0.062594,0.054468,0.057549,0.038713
585.781400,0.072453,0.073370,0.062488,0.054346,0.057348,0.038638
586.263500,0.072363,0.073280,0.062354,0.054204,0.057134,0.038556
586.745700,0.072193,0.073120,0.062254,0.054086,0.056955,0.038481
587.227800,0.072105,0.073042,0.062113,0.053936,0.056751,0.038390
587.709900,0.071922,0.072875,0.061993,0.053801,0.056569,0.038298
588.192000,0.071809,0.072774,0.061829,0.053635,0.056358,0.038190
588.674100,0.071602,0.072583,0.061695,0.053495,0.056176,0.038091
589.156300,0.071474,0.072465,0.061538,0.053344,0.055982,0.037991
589.638400,0.071266,0.072268,0.061435,0.053236,0.055835,0.037914
590.120500,0.071143,0.072150,0.061324,0.053126,0.055686,0.037847
590.602700,0.070943,0.071955,0.061268,0.053056,0.055582,0.037801
